Timestamp,UsageVolume,UsageType
2012-03-07 12:13:00,0.0,None
2012-03-07 12:14:00,0.0,None
2012-03-07 12:15:00,0.0,None
2012-03-07 12:16:00,0.0,None
2012-03-07 12:17:00,0.0,None
2012-03-07 12:18:00,0.0,None
2012-03-07 12:19:00,0.0,None
2012-03-07 12:20:00,0.0,None
2012-03-07 12:21:00,0.0,None
2012-03-07 12:22:00,0.0,None
2012-03-07 12:23:00,0.0,None
2012-03-07 12:24:00,0.0,None
2012-03-07 12:25:00,0.0,None
2012-03-07 12:26:00,0.0,None
2012-03-07 12:27:00,0.02016,Leak
2012-03-07 12:28:00,0.02016,Leak
2012-03-07 12:29:00,0.02016,Leak
2012-03-07 12:30:00,0.02016,Leak
2012-03-07 12:31:00,0.00336,Leak
2012-03-07 12:32:00,0.0,None
2012-03-07 12:33:00,0.014,Leak
2012-03-07 12:34:00,0.0,None
2012-03-07 12:35:00,0.0,None
2012-03-07 12:36:00,0.0,None
2012-03-07 12:37:00,0.02465625,Leak
2012-03-07 12:38:00,0.0493125,Leak
2012-03-07 12:39:00,0.0493125,Leak
2012-03-07 12:40:00,0.0493125,Leak
2012-03-07 12:41:00,0.0493125,Leak
2012-03-07 12:42:00,0.04109375,Leak
2012-03-07 12:43:00,0.0304,Leak
2012-03-07 12:44:00,0.0076,Leak
2012-03-07 12:45:00,0.0,None
2012-03-07 12:46:00,0.0,None
2012-03-07 12:47:00,0.0,None
2012-03-07 12:48:00,0.08742857142857101,Faucet
2012-03-07 12:49:00,0.0145714285714285,Faucet
2012-03-07 12:50:00,0.0,None
2012-03-07 12:51:00,0.0,None
2012-03-07 12:52:00,0.0,None
2012-03-07 12:53:00,0.0,None
2012-03-07 12:54:00,0.0,None
2012-03-07 12:55:00,0.0,None
2012-03-07 12:56:00,0.0,None
2012-03-07 12:57:00,0.0,None
2012-03-07 12:58:00,0.0,None
2012-03-07 12:59:00,0.0,None
2012-03-07 13:00:00,0.0,None
2012-03-07 13:01:00,0.0,None
2012-03-07 13:02:00,0.0,None
2012-03-07 13:03:00,0.0,None
2012-03-07 13:04:00,0.0,None
2012-03-07 13:05:00,0.0,None
2012-03-07 13:06:00,0.0,None
2012-03-07 13:07:00,0.0,None
2012-03-07 13:08:00,0.0,None
2012-03-07 13:09:00,0.0,None
2012-03-07 13:10:00,0.0,None
2012-03-07 13:11:00,0.0,None
2012-03-07 13:12:00,0.0,None
2012-03-07 13:13:00,0.0,None
2012-03-07 13:14:00,0.0,None
2012-03-07 13:15:00,0.0,None
2012-03-07 13:16:00,0.0,None
2012-03-07 13:17:00,0.0,None
2012-03-07 13:18:00,0.0,None
2012-03-07 13:19:00,0.0,None
2012-03-07 13:20:00,0.0,None
2012-03-07 13:21:00,0.0,None
2012-03-07 13:22:00,0.0,None
2012-03-07 13:23:00,0.0,None
2012-03-07 13:24:00,0.0,None
2012-03-07 13:25:00,0.0,None
2012-03-07 13:26:00,0.0,None
2012-03-07 13:27:00,0.0,None
2012-03-07 13:28:00,0.0,None
2012-03-07 13:29:00,0.0,None
2012-03-07 13:30:00,0.0,None
2012-03-07 13:31:00,0.0,None
2012-03-07 13:32:00,0.0,None
2012-03-07 13:33:00,0.023,Leak
2012-03-07 13:34:00,0.0,None
2012-03-07 13:35:00,0.0,None
2012-03-07 13:36:00,0.0,None
2012-03-07 13:37:00,0.0,None
2012-03-07 13:38:00,0.0,None
2012-03-07 13:39:00,0.0,None
2012-03-07 13:40:00,0.0,None
2012-03-07 13:41:00,0.0,None
2012-03-07 13:42:00,0.0,None
2012-03-07 13:43:00,0.0,None
2012-03-07 13:44:00,0.0,None
2012-03-07 13:45:00,0.0,None
2012-03-07 13:46:00,0.0,None
2012-03-07 13:47:00,0.0,None
2012-03-07 13:48:00,0.0,None
2012-03-07 13:49:00,0.0,None
2012-03-07 13:50:00,0.0,None
2012-03-07 13:51:00,0.0,None
2012-03-07 13:52:00,0.0,None
2012-03-07 13:53:00,0.0,None
2012-03-07 13:54:00,0.0,None
2012-03-07 13:55:00,0.0,None
2012-03-07 13:56:00,0.0,None
2012-03-07 13:57:00,0.0,None
2012-03-07 13:58:00,0.0,None
2012-03-07 13:59:00,0.0,None
2012-03-07 14:00:00,0.0,None
2012-03-07 14:01:00,0.0,None
2012-03-07 14:02:00,0.0,None
2012-03-07 14:03:00,0.0,None
2012-03-07 14:04:00,0.0,None
2012-03-07 14:05:00,0.0,None
2012-03-07 14:06:00,0.0,None
2012-03-07 14:07:00,0.0,None
2012-03-07 14:08:00,0.0,None
2012-03-07 14:09:00,0.0,None
2012-03-07 14:10:00,0.0,None
2012-03-07 14:11:00,0.0,None
2012-03-07 14:12:00,0.0,None
2012-03-07 14:13:00,0.0,None
2012-03-07 14:14:00,0.0,None
2012-03-07 14:15:00,0.0,None
2012-03-07 14:16:00,0.0,None
2012-03-07 14:17:00,0.0,None
2012-03-07 14:18:00,0.0,None
2012-03-07 14:19:00,0.0,None
2012-03-07 14:20:00,0.0,None
2012-03-07 14:21:00,0.0,None
2012-03-07 14:22:00,0.0,None
2012-03-07 14:23:00,0.0,None
2012-03-07 14:24:00,0.0,None
2012-03-07 14:25:00,0.0,None
2012-03-07 14:26:00,0.0,None
2012-03-07 14:27:00,0.0,None
2012-03-07 14:28:00,0.0,None
2012-03-07 14:29:00,0.0,None
2012-03-07 14:30:00,0.0,None
2012-03-07 14:31:00,0.0,None
2012-03-07 14:32:00,0.0,None
2012-03-07 14:33:00,0.0,None
2012-03-07 14:34:00,0.0,None
2012-03-07 14:35:00,0.0,None
2012-03-07 14:36:00,0.0,None
2012-03-07 14:37:00,0.0,None
2012-03-07 14:38:00,0.0,None
2012-03-07 14:39:00,0.0,None
2012-03-07 14:40:00,0.0,None
2012-03-07 14:41:00,0.0,None
2012-03-07 14:42:00,0.0,None
2012-03-07 14:43:00,0.0,None
2012-03-07 14:44:00,0.0,None
2012-03-07 14:45:00,0.0,None
2012-03-07 14:46:00,0.0,None
2012-03-07 14:47:00,0.0,None
2012-03-07 14:48:00,0.0,None
2012-03-07 14:49:00,0.0,None
2012-03-07 14:50:00,0.0,None
2012-03-07 14:51:00,0.0,None
2012-03-07 14:52:00,0.0,None
2012-03-07 14:53:00,0.0,None
2012-03-07 14:54:00,0.0,None
2012-03-07 14:55:00,0.0,None
2012-03-07 14:56:00,0.0,None
2012-03-07 14:57:00,0.0,None
2012-03-07 14:58:00,0.0,None
2012-03-07 14:59:00,0.0,None
2012-03-07 15:00:00,0.0,None
2012-03-07 15:01:00,0.0,None
2012-03-07 15:02:00,0.0,None
2012-03-07 15:03:00,0.0,None
2012-03-07 15:04:00,0.0,None
2012-03-07 15:05:00,0.0,None
2012-03-07 15:06:00,0.0,None
2012-03-07 15:07:00,0.0,None
2012-03-07 15:08:00,0.0,None
2012-03-07 15:09:00,0.0,None
2012-03-07 15:10:00,0.0,None
2012-03-07 15:11:00,0.0,None
2012-03-07 15:12:00,0.012,Leak
2012-03-07 15:13:00,0.0,None
2012-03-07 15:14:00,0.0,None
2012-03-07 15:15:00,0.0,None
2012-03-07 15:16:00,0.0,None
2012-03-07 15:17:00,0.0,None
2012-03-07 15:18:00,0.0,None
2012-03-07 15:19:00,0.0,None
2012-03-07 15:20:00,0.0,None
2012-03-07 15:21:00,0.0,None
2012-03-07 15:22:00,0.0,None
2012-03-07 15:23:00,0.0,None
2012-03-07 15:24:00,0.0,None
2012-03-07 15:25:00,0.0,None
2012-03-07 15:26:00,0.0,None
2012-03-07 15:27:00,0.0,None
2012-03-07 15:28:00,0.0,None
2012-03-07 15:29:00,0.0,None
2012-03-07 15:30:00,0.0,None
2012-03-07 15:31:00,0.0,None
2012-03-07 15:32:00,0.012,Leak
2012-03-07 15:33:00,0.0,None
2012-03-07 15:34:00,0.0,None
2012-03-07 15:35:00,0.0,None
2012-03-07 15:36:00,0.0,None
2012-03-07 15:37:00,0.0,None
2012-03-07 15:38:00,0.0,None
2012-03-07 15:39:00,0.0,None
2012-03-07 15:40:00,0.0,None
2012-03-07 15:41:00,0.0,None
2012-03-07 15:42:00,0.0,None
2012-03-07 15:43:00,0.0,None
2012-03-07 15:44:00,0.0,None
2012-03-07 15:45:00,0.0,None
2012-03-07 15:46:00,0.0,None
2012-03-07 15:47:00,0.0,None
2012-03-07 15:48:00,0.0,None
2012-03-07 15:49:00,0.0,None
2012-03-07 15:50:00,0.0,None
2012-03-07 15:51:00,0.0,None
2012-03-07 15:52:00,0.0,None
2012-03-07 15:53:00,0.0,None
2012-03-07 15:54:00,0.0,None
2012-03-07 15:55:00,0.0,None
2012-03-07 15:56:00,0.0,None
2012-03-07 15:57:00,0.0,None
2012-03-07 15:58:00,0.0343333333333333,Faucet
2012-03-07 15:59:00,0.1716666666666665,Faucet
2012-03-07 16:00:00,0.048,Leak
2012-03-07 16:01:00,0.0,None
2012-03-07 16:02:00,0.0,None
2012-03-07 16:03:00,0.0,None
2012-03-07 16:04:00,0.0,None
2012-03-07 16:05:00,0.0,None
2012-03-07 16:06:00,0.0,None
2012-03-07 16:07:00,0.018000000000000002,Leak
2012-03-07 16:08:00,0.003,Leak
2012-03-07 16:09:00,0.0,None
2012-03-07 16:10:00,0.0,None
2012-03-07 16:11:00,0.0,None
2012-03-07 16:12:00,0.0,None
2012-03-07 16:13:00,0.0,None
2012-03-07 16:14:00,0.0,None
2012-03-07 16:15:00,0.0,None
2012-03-07 16:16:00,0.0,None
2012-03-07 16:17:00,0.0,None
2012-03-07 16:18:00,0.0,None
2012-03-07 16:19:00,0.0,None
2012-03-07 16:20:00,0.0,None
2012-03-07 16:21:00,0.0,None
2012-03-07 16:22:00,0.0,None
2012-03-07 16:23:00,0.0,None
2012-03-07 16:24:00,0.0,None
2012-03-07 16:25:00,0.0,None
2012-03-07 16:26:00,0.0,None
2012-03-07 16:27:00,0.0,None
2012-03-07 16:28:00,0.0,None
2012-03-07 16:29:00,0.0,None
2012-03-07 16:30:00,0.0,None
2012-03-07 16:31:00,0.0,None
2012-03-07 16:32:00,0.0,None
2012-03-07 16:33:00,0.0,None
2012-03-07 16:34:00,0.0,None
2012-03-07 16:35:00,0.0,None
2012-03-07 16:36:00,0.0,None
2012-03-07 16:37:00,0.0,None
2012-03-07 16:38:00,0.0,None
2012-03-07 16:39:00,0.0,None
2012-03-07 16:40:00,0.0,None
2012-03-07 16:41:00,0.0,None
2012-03-07 16:42:00,0.0,None
2012-03-07 16:43:00,0.0,None
2012-03-07 16:44:00,0.0,None
2012-03-07 16:45:00,0.0,None
2012-03-07 16:46:00,0.0,None
2012-03-07 16:47:00,0.0,None
2012-03-07 16:48:00,0.0,None
2012-03-07 16:49:00,0.0,None
2012-03-07 16:50:00,0.0,None
2012-03-07 16:51:00,0.0,None
2012-03-07 16:52:00,0.0,None
2012-03-07 16:53:00,0.0,None
2012-03-07 16:54:00,0.0,None
2012-03-07 16:55:00,0.0,None
2012-03-07 16:56:00,0.0,None
2012-03-07 16:57:00,0.0,None
2012-03-07 16:58:00,0.0,None
2012-03-07 16:59:00,0.0,None
2012-03-07 17:00:00,0.0,None
2012-03-07 17:01:00,0.0,None
2012-03-07 17:02:00,0.0,None
2012-03-07 17:03:00,0.0,None
2012-03-07 17:04:00,0.0,None
2012-03-07 17:05:00,0.0,None
2012-03-07 17:06:00,0.0,None
2012-03-07 17:07:00,0.0,None
2012-03-07 17:08:00,0.0,None
2012-03-07 17:09:00,0.0,None
2012-03-07 17:10:00,0.0,None
2012-03-07 17:11:00,0.106,Faucet
2012-03-07 17:12:00,0.6719999999999999,Faucet
2012-03-07 17:13:00,0.176,Faucet
2012-03-07 17:14:00,0.24933333333333318,Faucet
2012-03-07 17:15:00,0.18866666666666648,Faucet
2012-03-07 17:16:00,0.1285714285714284,Faucet
2012-03-07 17:17:00,0.1675714285714282,Faucet
2012-03-07 17:18:00,0.0158571428571426,Leak
2012-03-07 17:19:00,0.0,None
2012-03-07 17:20:00,0.0,None
2012-03-07 17:21:00,0.0,None
2012-03-07 17:22:00,0.0495,Leak
2012-03-07 17:23:00,0.2793571428571428,Faucet
2012-03-07 17:24:00,0.037142857142857,Leak
2012-03-07 17:25:00,0.0,None
2012-03-07 17:26:00,0.0,None
2012-03-07 17:27:00,0.0,None
2012-03-07 17:28:00,0.0436,Leak
2012-03-07 17:29:00,0.0654,Leak
2012-03-07 17:30:00,0.0644285714285713,Leak
2012-03-07 17:31:00,0.0365714285714284,Leak
2012-03-07 17:32:00,0.023,Leak
2012-03-07 17:33:00,0.0175555555555554,Leak
2012-03-07 17:34:00,0.0351111111111108,Leak
2012-03-07 17:35:00,0.0351111111111108,Leak
2012-03-07 17:36:00,0.0351111111111108,Leak
2012-03-07 17:37:00,0.0351111111111108,Leak
2012-03-07 17:38:00,0.063,Leak
2012-03-07 17:39:00,0.0165625,Leak
2012-03-07 17:40:00,0.019875,Leak
2012-03-07 17:41:00,0.1005625,Faucet
2012-03-07 17:42:00,0.1448571428571426,Faucet
2012-03-07 17:43:00,0.0651428571428568,Faucet
2012-03-07 17:44:00,0.0,None
2012-03-07 17:45:00,0.0,None
2012-03-07 17:46:00,0.0,None
2012-03-07 17:47:00,0.0225,Leak
2012-03-07 17:48:00,0.045,Leak
2012-03-07 17:49:00,0.045,Leak
2012-03-07 17:50:00,0.045,Leak
2012-03-07 17:51:00,0.0305,Leak
2012-03-07 17:52:00,0.0,None
2012-03-07 17:53:00,0.0,None
2012-03-07 17:54:00,0.0304,Leak
2012-03-07 17:55:00,0.0986,Leak
2012-03-07 17:56:00,0.19999999999999998,Faucet
2012-03-07 17:57:00,0.05,Leak
2012-03-07 17:58:00,0.0,None
2012-03-07 17:59:00,0.1659,Faucet
2012-03-07 18:00:00,0.09179999999999999,Leak
2012-03-07 18:01:00,0.0747999999999999,Leak
2012-03-07 18:02:00,0.1770999999999999,Faucet
2012-03-07 18:03:00,0.35197142857142844,Faucet
2012-03-07 18:04:00,0.026428571428571,Leak
2012-03-07 18:05:00,0.0,None
2012-03-07 18:06:00,0.0,None
2012-03-07 18:07:00,0.0,None
2012-03-07 18:08:00,0.0,None
2012-03-07 18:09:00,0.0,None
2012-03-07 18:10:00,0.0,None
2012-03-07 18:11:00,0.0,None
2012-03-07 18:12:00,0.0,None
2012-03-07 18:13:00,0.0,None
2012-03-07 18:14:00,0.0,None
2012-03-07 18:15:00,0.0,None
2012-03-07 18:16:00,0.0,None
2012-03-07 18:17:00,0.0,None
2012-03-07 18:18:00,0.0,None
2012-03-07 18:19:00,0.0,None
2012-03-07 18:20:00,0.0,None
2012-03-07 18:21:00,0.0,None
2012-03-07 18:22:00,0.0,None
2012-03-07 18:23:00,0.0,None
2012-03-07 18:24:00,0.0,None
2012-03-07 18:25:00,0.0,None
2012-03-07 18:26:00,0.0,None
2012-03-07 18:27:00,0.0,None
2012-03-07 18:28:00,0.0,None
2012-03-07 18:29:00,0.0,None
2012-03-07 18:30:00,0.0,None
2012-03-07 18:31:00,0.0,None
2012-03-07 18:32:00,0.0,None
2012-03-07 18:33:00,0.0,None
2012-03-07 18:34:00,0.0,None
2012-03-07 18:35:00,0.0,None
2012-03-07 18:36:00,0.0,None
2012-03-07 18:37:00,0.0,None
2012-03-07 18:38:00,0.0,None
2012-03-07 18:39:00,0.0,None
2012-03-07 18:40:00,0.0,None
2012-03-07 18:41:00,0.0,None
2012-03-07 18:42:00,0.0,None
2012-03-07 18:43:00,0.0,None
2012-03-07 18:44:00,0.0,None
2012-03-07 18:45:00,0.0,None
2012-03-07 18:46:00,0.0,None
2012-03-07 18:47:00,0.0,None
2012-03-07 18:48:00,0.0,None
2012-03-07 18:49:00,0.0,None
2012-03-07 18:50:00,0.0,None
2012-03-07 18:51:00,0.0,None
2012-03-07 18:52:00,0.0,None
2012-03-07 18:53:00,0.038333333333333004,Leak
2012-03-07 18:54:00,0.0076666666666666,Leak
2012-03-07 18:55:00,0.0,None
2012-03-07 18:56:00,0.0,None
2012-03-07 18:57:00,0.0,None
2012-03-07 18:58:00,0.0,None
2012-03-07 18:59:00,0.0,None
2012-03-07 19:00:00,0.0,None
2012-03-07 19:01:00,0.0,None
2012-03-07 19:02:00,0.0,None
2012-03-07 19:03:00,0.0,None
2012-03-07 19:04:00,0.0,None
2012-03-07 19:05:00,0.0,None
2012-03-07 19:06:00,0.4489999999999998,Faucet
2012-03-07 19:07:00,0.3221874999999998,Faucet
2012-03-07 19:08:00,0.078375,Leak
2012-03-07 19:09:00,0.078375,Leak
2012-03-07 19:10:00,0.2945625,Faucet
2012-03-07 19:11:00,0.442125,Faucet
2012-03-07 19:12:00,0.03375,Leak
2012-03-07 19:13:00,0.005625,Leak
2012-03-07 19:14:00,0.0,None
2012-03-07 19:15:00,0.0,None
2012-03-07 19:16:00,0.0526666666666662,Leak
2012-03-07 19:17:00,0.0460933333333331,Leak
2012-03-07 19:18:00,0.05928,Leak
2012-03-07 19:19:00,0.05928,Leak
2012-03-07 19:20:00,0.05928,Leak
2012-03-07 19:21:00,0.0494,Leak
2012-03-07 19:22:00,0.0797999999999996,Leak
2012-03-07 19:23:00,0.0601999999999999,Leak
2012-03-07 19:24:00,0.1375,Faucet
2012-03-07 19:25:00,0.025500000000000002,Leak
2012-03-07 19:26:00,0.0,None
2012-03-07 19:27:00,0.5195000000000001,Faucet
2012-03-07 19:28:00,0.4382,Faucet
2012-03-07 19:29:00,0.0534,Leak
2012-03-07 19:30:00,0.4409,Faucet
2012-03-07 19:31:00,0.55,Faucet
2012-03-07 19:32:00,0.33183999999999997,Faucet
2012-03-07 19:33:00,0.06576,Leak
2012-03-07 19:34:00,0.06576,Leak
2012-03-07 19:35:00,0.06576,Leak
2012-03-07 19:36:00,0.11463,Faucet
2012-03-07 19:37:00,0.7190000000000001,Faucet
2012-03-07 19:38:00,0.9232500000000001,Faucet
2012-03-07 19:39:00,0.7374999999999996,Dishwasher
2012-03-07 19:40:00,0.7374999999999996,Dishwasher
2012-03-07 19:41:00,0.1327692307692307,Faucet
2012-03-07 19:42:00,0.053538461538461396,Leak
2012-03-07 19:43:00,0.053538461538461396,Leak
2012-03-07 19:44:00,0.053538461538461396,Leak
2012-03-07 19:45:00,0.0446153846153845,Leak
2012-03-07 19:46:00,0.052,Leak
2012-03-07 19:47:00,0.0624,Leak
2012-03-07 19:48:00,0.0624,Leak
2012-03-07 19:49:00,0.0312,Leak
2012-03-07 19:50:00,0.09171428571428519,Leak
2012-03-07 19:51:00,0.5620857142857142,
2012-03-07 19:52:00,0.8201999999999999,
2012-03-07 19:53:00,0.0379999999999998,Leak
2012-03-07 19:54:00,0.0189999999999999,Leak
2012-03-07 19:55:00,0.0313333333333332,Leak
2012-03-07 19:56:00,0.0626666666666664,Leak
2012-03-07 19:57:00,0.040799999999999996,Leak
2012-03-07 19:58:00,0.040799999999999996,Leak
2012-03-07 19:59:00,0.040799999999999996,Leak
2012-03-07 20:00:00,0.0310999999999999,Leak
2012-03-07 20:01:00,0.034999999999999795,Leak
2012-03-07 20:02:00,0.034999999999999795,Leak
2012-03-07 20:03:00,0.0524999999999999,Leak
2012-03-07 20:04:00,0.0697142857142856,Leak
2012-03-07 20:05:00,0.1122857142857142,Faucet
2012-03-07 20:06:00,0.0,None
2012-03-07 20:07:00,0.0365999999999994,Leak
2012-03-07 20:08:00,0.0243999999999996,Leak
2012-03-07 20:09:00,0.0,None
2012-03-07 20:10:00,0.0,None
2012-03-07 20:11:00,0.0,None
2012-03-07 20:12:00,0.0,None
2012-03-07 20:13:00,0.0,None
2012-03-07 20:14:00,0.0,None
2012-03-07 20:15:00,0.0,None
2012-03-07 20:16:00,0.0,None
2012-03-07 20:17:00,0.012,Leak
2012-03-07 20:18:00,0.0,None
2012-03-07 20:19:00,0.0,None
2012-03-07 20:20:00,0.0,None
2012-03-07 20:21:00,0.012,Leak
2012-03-07 20:22:00,0.012,Leak
2012-03-07 20:23:00,0.528375,
2012-03-07 20:24:00,0.528375,
2012-03-07 20:25:00,0.35225,
2012-03-07 20:26:00,0.0,None
2012-03-07 20:27:00,0.0,None
2012-03-07 20:28:00,0.0,None
2012-03-07 20:29:00,0.0,None
2012-03-07 20:30:00,0.0,None
2012-03-07 20:31:00,0.0,None
2012-03-07 20:32:00,0.0,None
2012-03-07 20:33:00,0.0,None
2012-03-07 20:34:00,0.0,None
2012-03-07 20:35:00,0.0,None
2012-03-07 20:36:00,0.2759999999999998,
2012-03-07 20:37:00,0.8279999999999994,
2012-03-07 20:38:00,0.3039999999999998,
2012-03-07 20:39:00,0.028,Leak
2012-03-07 20:40:00,0.0,None
2012-03-07 20:41:00,0.0,None
2012-03-07 20:42:00,0.0,None
2012-03-07 20:43:00,0.0,None
2012-03-07 20:44:00,0.0,None
2012-03-07 20:45:00,0.056428571428570995,Leak
2012-03-07 20:46:00,0.0455714285714284,Leak
2012-03-07 20:47:00,0.0,None
2012-03-07 20:48:00,0.019,Leak
2012-03-07 20:49:00,0.056999999999999995,Leak
2012-03-07 20:50:00,0.054000000000000006,Leak
2012-03-07 20:51:00,0.096,Leak
2012-03-07 20:52:00,0.0718333333333332,Leak
2012-03-07 20:53:00,0.0691666666666665,Leak
2012-03-07 20:54:00,0.075,Faucet
2012-03-07 20:55:00,0.075,Faucet
2012-03-07 20:56:00,0.0,None
2012-03-07 20:57:00,0.0,None
2012-03-07 20:58:00,0.0,None
2012-03-07 20:59:00,0.0,None
2012-03-07 21:00:00,0.0,None
2012-03-07 21:01:00,0.023,Leak
2012-03-07 21:02:00,0.037,Leak
2012-03-07 21:03:00,0.0712307692307692,Faucet
2012-03-07 21:04:00,0.3553846153846152,Faucet
2012-03-07 21:05:00,0.3553846153846152,Faucet
2012-03-07 21:06:00,0.0,None
2012-03-07 21:07:00,0.0,None
2012-03-07 21:08:00,0.0,None
2012-03-07 21:09:00,0.034375,Leak
2012-03-07 21:10:00,0.04125,Leak
2012-03-07 21:11:00,0.034375,Leak
2012-03-07 21:12:00,0.0,None
2012-03-07 21:13:00,0.0,None
2012-03-07 21:14:00,0.0,None
2012-03-07 21:15:00,0.0,None
2012-03-07 21:16:00,0.0716,Leak
2012-03-07 21:17:00,0.0972,Leak
2012-03-07 21:18:00,0.0972,Leak
2012-03-07 21:19:00,0.023,Leak
2012-03-07 21:20:00,0.0136470588235292,Leak
2012-03-07 21:21:00,0.0204705882352938,Leak
2012-03-07 21:22:00,0.0204705882352938,Leak
2012-03-07 21:23:00,0.0034117647058823,Leak
2012-03-07 21:24:00,0.0,None
2012-03-07 21:25:00,0.0,None
2012-03-07 21:26:00,0.0,None
2012-03-07 21:27:00,0.0,None
2012-03-07 21:28:00,0.0,None
2012-03-07 21:29:00,0.0,None
2012-03-07 21:30:00,0.0,None
2012-03-07 21:31:00,0.0,None
2012-03-07 21:32:00,0.0,None
2012-03-07 21:33:00,0.0,None
2012-03-07 21:34:00,0.0,None
2012-03-07 21:35:00,0.0,None
2012-03-07 21:36:00,0.0,None
2012-03-07 21:37:00,0.0,None
2012-03-07 21:38:00,0.0,None
2012-03-07 21:39:00,0.0,None
2012-03-07 21:40:00,0.0,None
2012-03-07 21:41:00,0.0,None
2012-03-07 21:42:00,0.0,None
2012-03-07 21:43:00,0.0,None
2012-03-07 21:44:00,0.0,None
2012-03-07 21:45:00,0.0,None
2012-03-07 21:46:00,0.0,None
2012-03-07 21:47:00,0.0,None
2012-03-07 21:48:00,0.0,None
2012-03-07 21:49:00,0.0,None
2012-03-07 21:50:00,0.0,None
2012-03-07 21:51:00,0.0,None
2012-03-07 21:52:00,0.0,None
2012-03-07 21:53:00,0.0,None
2012-03-07 21:54:00,0.0,None
2012-03-07 21:55:00,0.0,None
2012-03-07 21:56:00,0.0,None
2012-03-07 21:57:00,0.0,None
2012-03-07 21:58:00,0.0,None
2012-03-07 21:59:00,0.0,None
2012-03-07 22:00:00,0.0,None
2012-03-07 22:01:00,0.0,None
2012-03-07 22:02:00,0.0,None
2012-03-07 22:03:00,0.0,None
2012-03-07 22:04:00,0.0,None
2012-03-07 22:05:00,0.012,Leak
2012-03-07 22:06:00,0.0,None
2012-03-07 22:07:00,0.0,None
2012-03-07 22:08:00,0.0,None
2012-03-07 22:09:00,0.0,None
2012-03-07 22:10:00,0.0,None
2012-03-07 22:11:00,0.0,None
2012-03-07 22:12:00,0.0,None
2012-03-07 22:13:00,0.0,None
2012-03-07 22:14:00,0.0,None
2012-03-07 22:15:00,0.0,None
2012-03-07 22:16:00,0.0,None
2012-03-07 22:17:00,0.0,None
2012-03-07 22:18:00,0.0,None
2012-03-07 22:19:00,0.0,None
2012-03-07 22:20:00,0.0,None
2012-03-07 22:21:00,0.0,None
2012-03-07 22:22:00,0.0,None
2012-03-07 22:23:00,0.0,None
2012-03-07 22:24:00,0.0,None
2012-03-07 22:25:00,0.0,None
2012-03-07 22:26:00,0.0,None
2012-03-07 22:27:00,0.0,None
2012-03-07 22:28:00,0.0,None
2012-03-07 22:29:00,0.0,None
2012-03-07 22:30:00,0.0,None
2012-03-07 22:31:00,0.0,None
2012-03-07 22:32:00,0.0,None
2012-03-07 22:33:00,0.0,None
2012-03-07 22:34:00,0.0,None
2012-03-07 22:35:00,0.0,None
2012-03-07 22:36:00,0.0,None
2012-03-07 22:37:00,0.0,None
2012-03-07 22:38:00,0.0,None
2012-03-07 22:39:00,0.0,None
2012-03-07 22:40:00,0.0,None
2012-03-07 22:41:00,0.0,None
2012-03-07 22:42:00,0.0,None
2012-03-07 22:43:00,0.0,None
2012-03-07 22:44:00,0.0,None
2012-03-07 22:45:00,0.0,None
2012-03-07 22:46:00,0.0,None
2012-03-07 22:47:00,0.0,None
2012-03-07 22:48:00,0.0,None
2012-03-07 22:49:00,0.0,None
2012-03-07 22:50:00,0.0,None
2012-03-07 22:51:00,0.0,None
2012-03-07 22:52:00,0.0,None
2012-03-07 22:53:00,0.0,None
2012-03-07 22:54:00,0.0,None
2012-03-07 22:55:00,0.0,None
2012-03-07 22:56:00,0.0,None
2012-03-07 22:57:00,0.0,None
2012-03-07 22:58:00,0.0,None
2012-03-07 22:59:00,0.0,None
2012-03-07 23:00:00,0.0,None
2012-03-07 23:01:00,0.0,None
2012-03-07 23:02:00,0.0,None
2012-03-07 23:03:00,0.0,None
2012-03-07 23:04:00,0.0,None
2012-03-07 23:05:00,0.0,None
2012-03-07 23:06:00,0.0,None
2012-03-07 23:07:00,0.0,None
2012-03-07 23:08:00,0.0,None
2012-03-07 23:09:00,0.0,None
2012-03-07 23:10:00,0.0,None
2012-03-07 23:11:00,0.0,None
2012-03-07 23:12:00,0.0,None
2012-03-07 23:13:00,0.0,None
2012-03-07 23:14:00,0.0,None
2012-03-07 23:15:00,0.0,None
2012-03-07 23:16:00,0.0,None
2012-03-07 23:17:00,0.0,None
2012-03-07 23:18:00,0.0,None
2012-03-07 23:19:00,0.0,None
2012-03-07 23:20:00,0.0,None
2012-03-07 23:21:00,0.0,None
2012-03-07 23:22:00,0.0,None
2012-03-07 23:23:00,0.0,None
2012-03-07 23:24:00,0.0,None
2012-03-07 23:25:00,0.0,None
2012-03-07 23:26:00,0.0,None
2012-03-07 23:27:00,0.0,None
2012-03-07 23:28:00,0.0,None
2012-03-07 23:29:00,0.0,None
2012-03-07 23:30:00,0.0,None
2012-03-07 23:31:00,0.0,None
2012-03-07 23:32:00,0.0,None
2012-03-07 23:33:00,0.0,None
2012-03-07 23:34:00,0.0,None
2012-03-07 23:35:00,0.0,None
2012-03-07 23:36:00,0.0,None
2012-03-07 23:37:00,0.0,None
2012-03-07 23:38:00,0.0,None
2012-03-07 23:39:00,0.0,None
2012-03-07 23:40:00,0.0,None
2012-03-07 23:41:00,0.0,None
2012-03-07 23:42:00,0.0,None
2012-03-07 23:43:00,0.0,None
2012-03-07 23:44:00,0.0,None
